ETG,X502,Statics,0.5,Manufacturing
ETI,400,Entry Level Production Worker,1,Manufacturing
ETI,431,Production Quality and Assurance (150 hours),1,Manufacturing
ETI,432,Manufacturing and Production Processes (150 hours),1,Manufacturing
ETI,450,Industrial Machine Maintenance Assistant OCP A (450 hours),3,Manufacturing
ETI,453,Manufacturing and Production Maintenance,1,Manufacturing
ETI,456,Machinery Maintenance Mechanic OCP B (300 hours),2,Manufacturing
ETI,457,Machinery Maintenance Technician (150 hours),1,Manufacturing
ETI,458,Industrial Maintenance Specialist OCP B (450 hours),3,Manufacturing
ETI,459,Millwright OCP B (450 hours),3,Manufacturing
ETI,481,Production Worker OCP A (150 hours),1,Manufacturing
ETI,482,Assembler OCP B (150 hours),1,Manufacturing
ETI,484,Process Assistant OCP B (150 hours),1,Manufacturing
ETI,485,Reliability and Failure Analysis,1,Manufacturing
ETI,600,Drafting Assistant Machining OCP A (300 hours),2,Manufacturing
ETI,601,Cost Control Assistant OCP B (300 hours),2,Manufacturing
ETI,602,Industrial Technical Assistant (1 of 2) OCP C (250 hours),1.5,Manufacturing
ETI,603,Industrial Technical Assistant (2 of 2) OCP C (250 hours),1.5,Manufacturing
ETI,604,Industrial Engineering Technician (1 of 2) OCP D (250 hours),1.5,Manufacturing
ETI,605,Industrial Engineering Technician (2 of 2) OCP D (250 hours),1.5,Manufacturing
ETI,0481C,Production Worker OCP A (150 hours),1,Manufacturing
ETI,0482C,Assembler OCP B (150 hours),1,Manufacturing
ETI,0484C,Process Assistant OCP B (150 hours),1,Manufacturing
ETI,0485C,Reliability and Failure Analysis,1,Manufacturing
ETI,X040,Introduction to Bioscience Manufacturing (L),0.5,Manufacturing
ETI,X110,Principles of Quality Assurance (L),0.5,Manufacturing
ETI,X110C,Principles of Quality Assurance (L),0.5,Manufacturing
ETI,X117,Intro to Total Quality (L),0.5,Manufacturing
ETI,X121C,Non-Destructive Testing,0.5,Manufacturing
ETI,X160C,Principles of Biotechnology Metrology,0.5,Manufacturing
ETI,X172,Introduction to Quality Assurance (L),0.5,Manufacturing
ETI,X404,Advanced Manufacturing Technology (L),0.5,Manufacturing
ETI,X411,Advanced Manufacturing Processes,0.5,Manufacturing
ETI,X411C,Advanced Manufacturing Processes,0.5,Manufacturing
ETI,X414,Computer Numerical Control/Manufacturing,0.5,Manufacturing
ETI,X414C,Computer Numerical Control/Manufacturing,0.5,Manufacturing
ETI,X416C,Mechanical Devices and Systems,0.5,Manufacturing
ETI,X419C,Advanced Concepts of CNC Machines and CNC Machining Practices,0.5,Manufacturing
ETI,X420,Engineering Materials and Processes,0.5,Manufacturing
ETI,X420C,Engineering Materials and Processes,0.5,Manufacturing
ETI,X460C,Composites Fundamentals (L),0.5,Manufacturing
ETI,X464C,Advanced Composites (L),0.5,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ETI,X610,Six Sigma for the Expert,0.5,Manufacturing
ETI,X619,Six Sigma Project Management,0.5,Manufacturing
ETI,X622,Introduction to Lean Manufacturing,0.5,Manufacturing
ETI,X622C,Introduction to Lean Manufacturing,0.5,Manufacturing
ETI,X623,Tools of Lean Manufacturing,0.5,Manufacturing
ETI,X624,Six Sigma Black Belt Concepts (L),0.5,Manufacturing
ETI,X626,Six Sigma Capstone Project,0.5,Manufacturing
ETI,X628,Developing and Coaching Self-Directed Work Teams,0.5,Manufacturing
ETI,X644,Production & Inventory Control,0.5,Manufacturing
ETI,X670,Technical Economic Analysis,0.5,Manufacturing
ETI,X701,Industrial Safety,0.5,Manufacturing
ETI,X701C,Industrial Safety,0.5,Manufacturing
ETI,X710,Observed Safety Engineering,0.5,Manufacturing
ETI,X830,Space Industry Materials and Processes,0.5,Manufacturing
ETI,X830C,Space Industry Materials and Processes,0.5,Manufacturing
ETI,X832C,Space Industry Materials and Processes,0.5,Manufacturing
ETI,X843,Motors and Controls,0.5,Manufacturing
ETI,X843C,Motors and Controls,0.5,Manufacturing
ETI,X850C,"Space Systems- Hydraulic, Pneumatic, ECLSS",0.5,Manufacturing
ETI,X851C,Applied Aerospace Mechanics,0.5,Manufacturing
ETI,X852C,Aerospace Test and Measurements,0.5,Manufacturing
ETI,X853C,Aerospace Safety and Quality,0.5,Manufacturing
ETI,X855C,Aerospace Structural Fabrication I,0.5,Manufacturing
ETI,X856C,Aerospace Structural Fabrication II,0.5,Manufacturing
ETI,X950,Engineering Technology Capstone,0.5,Manufacturing
ETI,X950C,Engineering Technology Capstone,0.5,Manufacturing
ETM,X010,Mechanical Measurement and Instrumentation,0.5,"Transportation, Distribution & Logistics"
ETM,X010C,Mechanical Measurement and Instrumentation,0.5,"Transportation, Distribution & Logistics"
ETM,X315,Hydraulics & Pneumatics (L),0.5,"Transportation, Distribution & Logistics"
ETM,X315C,Hydraulics & Pneumatics (L),0.5,"Transportation, Distribution & Logistics"
ETM,X318C,Aerospace Fluid Systems,0.5,"Transportation, Distribution & Logistics"
ETP,90,Energy Technician I (300 hours),2,Energy
ETP,91,Energy Technician II (300 hours),2,Energy
ETS,X406,Biomedical Equipment (L),0.5,Health Science
ETS,X406C,Biomedical Equipment (L),0.5,Health Science
ETS,X407,Survey of Medical Technology,0.5,Health Science
ETS,X412,Biomedical Technology & Techniques,0.5,Health Science
ETS,X412C,Biomedical Technology & Techniques,0.5,Health Science
ETS,X424,Biomedical Electronics (L),0.5,Health Science
ETS,X424C,Biomedical Electronics (L),0.5,Health Science
ETS,X440C,Biomedical Electronics Systems IV (L),0.5,Health Science
ETS,X511,Electro-Mechanical Systems (L),0.5,Manufacturing
ETS,X511C,Electro-Mechanical Systems (L),0.5,Manufacturing
ETS,X531,Human Machine Interface and Systems Graphics (L),0.5,Information Technology (IT)
ETS,X531C,Human Machine Interface and Systems Graphics (L),0.5,Information Technology (IT)
ETS,X540,Industrial Applications Using PLCS and Robotics (L),0.5,Manufacturing
ETS,X540C,Industrial Applications Using PLCS and Robotics (L),0.5,Manufacturing
ETS,X542,Programmable Logic Controllers 1 (L),0.5,Manufacturing
ETS,X542C,Programmable Logic Controllers 1 (L),0.5,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ETS,X603,Fundamentals of Robotics and Simulation (L),0.5,Information Technology (IT)
ETS,X603C,Fundamentals of Robotics and Simulation (L),0.5,Information Technology (IT)
ETS,X933C,Special Topics in Engineering Technology,0.5,Manufacturing
ETS,X940,BMET- Basic Field Experience,0.5,Health Science
ETS,X946,Biomedical Internship II,0.5,Health Science
EVS,133,"Water Treatment Plant Operator, Level “C” OCP A (150 hours)",1,"Agriculture, Food & Natural Resources"
EVS,143,"Water Treatment Plant Operator, Level",0.5,"Agriculture, Food & Natural Resources"
EVS,153,"Water Treatment Plant Operator, Level “A” OCP C (120 hours)",0.5,"Agriculture, Food & Natural Resources"
EVS,333,"Wastewater Treatment Plant Operator, Level “C” OCP A (155 hours)",1,"Agriculture, Food & Natural Resources"
EVS,333,"Wastewater Treatment Plant Operator, Level “C” OCP A (155 hours)",1,"Agriculture, Food & Natural Resources"
EVS,343,"Wastewater Treatment Plant Operator, Level “B” OCP B (130 hours)",0.5,"Agriculture, Food & Natural Resources"
EVS,350,"Wastewater Treatment Plant Operator, Level “A” OCP C (120 hours)",0.5,"Agriculture, Food & Natural Resources"
EVS,0133C,"Water Treatment Plant Operator, Level “C” OCP A (150 hours)",1,"Agriculture, Food & Natural Resources"
EVS,X005,Combo of Water and Wastewater,0.5,"Agriculture, Food & Natural Resources"
EVS,X005C,Combo of Water and Wastewater,0.5,"Agriculture, Food & Natural Resources"
EVS,X026,Chemistry and Biology of Natural Water,0.5,"Agriculture, Food & Natural Resources"
EVS,X026C,Chemistry and Biology of Natural Water,0.5,"Agriculture, Food & Natural Resources"
FFP,10,Fire Fighter I OCP A (206 hours),1,"Law, Public Safety & Security"
FFP,20,Fire Fighter II OCP B (192 hours),1,"Law, Public Safety & Security"
FFP,0010C,Fire Fighter I OCP A (206 hours),1,"Law, Public Safety & Security"
FFP,0020C,Fire Fighter II OCP B (192 hours),1,"Law, Public Safety & Security"
FFP,X000,Introduction to Fire Science,0.5,"Law, Public Safety & Security"
FFP,X111,Fire Chemistry,0.5,"Law, Public Safety & Security"
FFP,X120,Building Construction,0.5,"Law, Public Safety & Security"
FFP,X301,Hydraulics,0.5,"Law, Public Safety & Security"
FFP,X302,Pump Operations,0.5,"Law, Public Safety & Security"
FFP,X401,Hazardous Materials I,0.5,"Law, Public Safety & Security"
FFP,X402,Hazardous Materials II,0.5,"Law, Public Safety & Security"
FFP,X505,Fire Prevention Practices,0.5,"Law, Public Safety & Security"
FFP,X510,Codes and Standards,0.5,"Law, Public Safety & Security"
FFP,X521,Blueprint Reading and Plans Examination,0.5,"Law, Public Safety & Security"
FFP,X540,Fire Protection Systems and Devices,0.5,"Law, Public Safety & Security"
FFP,X541,Fire Protection Systems II,0.5,"Law, Public Safety & Security"
FFP,X604,Fire Investigation,0.5,"Law, Public Safety & Security"
FFP,X606,Post Blast Investigations,0.5,"Law, Public Safety & Security"
FFP,X610,Fire Investigator (Arson Causes and Origin),0.5,"Law, Public Safety & Security"
FFP,X610C,Fire Investigator (Arson Causes and Origin),0.5,"Law, Public Safety & Security"
FFP,X612,Fire Behavior and Combustion,0.5,"Law, Public Safety & Security"
FFP,X630,Latent Investigation,0.5,"Law, Public Safety & Security"
FFP,X670,Legal and Ethical Issues for the Fire Service,0.5,"Law, Public Safety & Security"
FFP,X702,Principles of Emergency Services,0.5,"Law, Public Safety & Security"
FFP,X706,Public Information Officer,0.5,"Law, Public Safety & Security"
FFP,X720,Company Officer,0.5,"Law, Public Safety & Security"
FFP,X740,Fire Service Instructor,0.5,"Law, Public Safety & Security"
FFP,X741,Fire Service Instructor Course Design,0.5,"Law, Public Safety & Security"
FFP,X770,Ethical and Legal Issues (3.0 credits),0.5,"Law, Public Safety & Security"
FFP,X780,Fire Service Management Administration I,0.5,"Law, Public Safety & Security"
FFP,X793,Fire and Lifesafety Educator I (3.0 credits),0.5,"Law, Public Safety & Security"
FFP,X801,Fundamentals of Emergency Management,0.5,"Law, Public Safety & Security"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
FFP,X810,Fire Fighting Tactics and Strategy I,0.5,"Law, Public Safety & Security"
FFP,X811,Fire Fighting Tactics and Strategy II,0.5,"Law, Public Safety & Security"
FIL,85,Video Production Manager (300 hours),2,"Arts, A/V Technology & Communication"
FIL,86,Grip and Lighting Technician (150 hours),1,"Arts, A/V Technology & Communication"
FIL,87,Motion Picture Projectionists/Digital Cinematographer (300 hours),2,"Arts, A/V Technology & Communication"
FIL,88,Digital Video Editor (150 hours),1,"Arts, A/V Technology & Communication"
FIL,89,Visual Effects Artists (150 hours),1,"Arts, A/V Technology & Communication"
FSS,90,Pastry Cook/Baker OCP A (300 hours),2,Hospitality & Tourism
FSS,91,Pastry Chef/Head Baker Restaurant OCP B (300 hours),2,Hospitality & Tourism
FSS,95,Dietary Manager (300 hours),2,Hospitality & Tourism
GIS,X090,GIS Technician Assistant,2,Career/Technical Education
GIS,X091,GIS Technician,2,Career/Technical Education
GRA,15,Duplicator Operator OCP D (450 hours),3,"Arts, A/V Technology & Communication"
GRA,16,General Bindery Worker OCP E (150 hours),1,"Arts, A/V Technology & Communication"
GRA,17,Digital Prepress Operations (450 hours),,Career/Technical Education
GRA,20,Digital Publishing Assistant (1 of 2) OCP A (247 hours),1.5,"Arts, A/V Technology & Communication"
GRA,21,Digital Publishing Assistant (2 of 2) OCP A (248 hours),1.5,"Arts, A/V Technology & Communication"
GRA,22,Desktop Publishing Specialist (1 of 2) OCP B (247 hours),1.5,"Arts, A/V Technology & Communication"
GRA,23,Desktop Publishing Specialist (2 of 2) OCP B (248 hours),1.5,"Arts, A/V Technology & Communication"
GRA,24,Production Assistant,1,Career/Technical Education
GRA,25,Digital Assistant Designer,2,Career/Technical Education
GRA,26,Graphic Designer,2,Career/Technical Education
GRA,27,Media Designer,2,Career/Technical Education
GRA,36,Desktop Publishing Assistant/Graphic Designer,3,Career/Technical Education
GRA,37,Design Technician/Digital Designer,3,Career/Technical Education
GRA,38,Illustrator/Print Media Artist,2,Career/Technical Education
GRA,39,Print Media Artist/Web Designer,2,Career/Technical Education
GRA,41,Printing History and Formats,3,Career/Technical Education
GRA,42,Digital Production Printing (150 hours),1,Career/Technical Education
GRA,X012,Copy Center Technician OCP A,3,Career/Technical Education
GRA,X014,Layout Designer/Planner,3,Career/Technical Education
GRA,X157,Digital Illustration II,0.5,"Arts, A/V Technology & Communication"
GRA,X157C,Digital Illustration II,0.5,"Arts, A/V Technology & Communication"
HAS,X100,Health Care Systems,0.5,Health Science
HCP,1,Health Care Core,0.5,Health Science
HCP,120,Nursing Assistant,0.5,Health Science
HCP,121,Nurse Aide and Orderly (Articulated) OCP B (75 hours),0.5,Health Science
HCP,122,Nursing Assistant- Classroom & Lab,0.5,Health Science
HCP,330,Home Health Aide OCP B (75 hours),0.5,Health Science
HCP,330,Home Health Aide OCP B (75 hours),0.5,Health Science
HCP,620,Patient Care Assistant,0.5,Health Science
HCP,811,Psychiatric Technician (1 of 2) OCP B (315 hours),2,Health Science
HCP,812,Psychiatric Technician (2 of 2) OCP B (315 hours),2,Health Science
HCP,940,Internships/Practicums/Clinical Practice,0.5,Health Science
HCP,0120C,Nursing Assistant,0.5,Health Science
HCP,0121C,Nurse Aide and Orderly (Articulated) OCP B (75 hours),0.5,Health Science
HCP,016C,Allied Health Assistant,1,Health Science
HCP,020C,Patient Care Assistant OCP D (75 hours),0.5,Health Science
HCP,0430C,Combined Nursing Assistant & Home Health Aide,0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
HCP,0620C,Patient Care Assistant,0.5,Health Science
HCP,0750C,Phlebotomy Technician- Theory and Clinical,0.5,Health Science
HCP,0781C,Advanced Allied Health Assistant,0.5,Health Science
HEV,10,Retail Sales OCP A (150 hours),1,Career/Technical Education
HEV,11,"Tailor, Dressmaker, Custom Sewer OCP B (150 hours)",1,Career/Technical Education
HEV,12,Fabric & Apparel Patternmakers OCP C (150 hours),1,Career/Technical Education
HEV,13,Fashion Coordinator/Stylist OCP D (150 hours),1,Career/Technical Education
HEV,412,Sales/Color Consultant OCP A (200 hours),1,"Arts, A/V Technology & Communication"
HEV,413,Interior Decorator/Interior Decorating Consultant OCP D (200 hours),1,"Arts, A/V Technology & Communication"
HEV,452,Furniture Arranger/Space Planner OCP B (350 hours),2,"Arts, A/V Technology & Communication"
HEV,453,Merchandise Stylist/Visual Displayer OCP C (300 hours),2,"Arts, A/V Technology & Communication"
HEV,612,Diet Clerk OCP A (150 hours),1,Hospitality & Tourism
HEV,870,Child Care Worker (1 of 2),1,Education and Training
HEV,871,Child Care Worker (2 of 2),1,Education and Training
HEV,872,Teacher Aide (Preschool),1,Career/Technical Education
HEV,873,Teacher (Preschool),1,Education and Training
HIM,9,Introduction to Health Information Technology (90 hours),0.5,Health Science
HIM,71,Medical Coder/Biller (1 of 3) OCP B (300 hours),2,Health Science
HIM,72,Medical Coder/Biller (2 of 3) OCP B (300 hours),2,Health Science
HIM,73,Medical Coder/Biller (3 of 3) OCP B (310 hours),2,Health Science
HIM,74,Medical Transcriber (1 of 3) OCP B (370 hours),2,Health Science
HIM,75,Medical Transcriber (2 of 3) OCP B (370 hours),2,Health Science
HIM,76,Health Unit Clerk OCP B (410 hours),2.5,Health Science
HIM,81,Medical Transcriber (3 of 3) OCP B (370 hours),2,Health Science
HIM,90,Monitor Technician (130 hours),0.5,Health Science
HIM,91,Medical Coder/Biller 1 (350 hours),2,Health Science
HIM,92,Medical Coder/Biller 2 (350 hours),2,Health Science
HIM,93,Medical Coder/Biller 3 (320 hours),2,Health Science
HIM,0009C,Introduction to Health Information Technology (90 hours),0.5,Health Science
HIM,X000,Introduction to Health Information Management,0.5,Health Science
HIM,X000C,Introduction to Health Information Management,0.5,Health Science
HIM,X012,Legal Aspects of Health Information Management,0.5,Health Science
HIM,X012C,Legal Aspects of Health Information Management,0.5,Health Science
HIM,X102,Introduction to Healthcare Informatics,0.5,Health Science
HIM,X110,Health Data Concepts,0.5,Health Science
HIM,X112,Electronic Medical Record and Technology,0.5,Health Science
HIM,X114,Integrated Electronic Medical Records (G),0.5,Health Science
HIM,X210,Health Information Systems,0.5,Health Science
HIM,X210C,Health Information Systems,0.5,Health Science
HIM,X211,Health Information Management Info Sys.,0.5,Health Science
HIM,X211C,Health Information Management Info Sys.,0.5,Health Science
HIM,X212,Health Information Mgt. in Alternative,0.5,Health Science
HIM,X214,Health Statistics,0.5,Health Science
HIM,X214C,Health Statistics,0.5,Health Science
HIM,X222,Basic ICD-9-CM Coding,0.5,Health Science
